STN,YYYYMMDD,   TG,   PG,   NG,   UG
  210,20090101,    4,10295,    8,   97
  210,20090102,   -1,10298,    4,   95
  210,20090103,   -6,10278,    7,   90
  210,20090104,   32,10189,    8,   85
  210,20090105,   -9,10219,    5,   81
  210,20090106,  -49,10265,    2,   73
  210,20090107,   15,10234,    7,   89
  210,20090108,  -37,10301,    5,   99
  210,20090109,  -53,10303,    1,   96
  210,20090110,  -45,10280,    1,   87
  210,20090111,    5,10259,    2,   73
  210,20090112,   44,10155,    7,   78
  210,20090113,   49,10108,    8,   97
  210,20090114,   44,10148,    6,   96
  210,20090115,   28,10191,    7,   86
  210,20090116,   19,10182,    8,   89
  210,20090117,   54,10113,    6,   91
  210,20090118,   59, 9967,    5,   88
  210,20090119,   47, 9861,    7,   92
  210,20090120,   42, 9936,    6,   88
  210,20090121,   36,10043,    7,   89
  210,20090122,   47, 9918,    8,   91
  210,20090123,   53, 9730,    7,   95
  210,20090124,   40, 9889,    6,   92
  210,20090125,   29, 9950,    4,   86
  210,20090126,    8,10026,    3,   89
  210,20090127,   -4,10150,    4,   94
  210,20090128,  -11,10183,    5,   97
  210,20090129,   -6,10215,    3,   92
  210,20090130,    4,10219,    0,   82
  210,20090131,    3,10186,    1,   77
  210,20090201,  -12,10131,    5,   72
  210,20090202,   10,10002,    8,   81
  210,20090203,   15, 9997,    8,   91
  210,20090204,   -1, 9976,    8,   89
  210,20090205,   31, 9921,    8,   93
  210,20090206,   35, 9906,    6,   94
  210,20090207,   31, 9926,    7,   89
  210,20090208,   14,10021,    5,   91
  210,20090209,   30, 9985,    8,   90
  210,20090210,   39, 9921,    7,   92
  210,20090211,   28,10139,    5,   88
  210,20090212,   24,10206,    4,   88
  210,20090213,   21,10207,    5,   89
  210,20090214,   -5,10282,    1,   85
  210,20090215,   27,10255,    7,   92
  210,20090216,   54,10215,    8,   98
  210,20090217,   41,10220,    7,   94
  210,20090218,   -1,10275,    5,   79
  210,20090219,   26,10263,    8,   94
  210,20090220,   48,10290,    8,   97
  210,20090221,   55,10299,    7,   88
  210,20090222,   59,10229,    8,   93
  210,20090223,   53,10214,    7,   95
  210,20090224,   38,10272,    6,   85
  210,20090225,   52,10266,    8,   92
  210,20090226,   61,10199,    6,   91
  210,20090227,   66,10177,    8,   96
  210,20090228,   69,10148,    8,   89
  210,20090301,   62,10086,    6,   91
